"מקט פריט","תיאור עברית","תיאור אנגלית","קיים?","מחיר ספק","קטגוריה","אחוז רווח","CBM","יחידות בקרטון","חסרים"
"200-6724-1","סט צלחות נוגה 10"+8" קרם פס זהב(8+8 יח') ארוז 12 בקרטון","Flat plate set 10"+8" cream with gold rim (packed 8+8) 12 in a case","כן","20.16","-","18","0.048","1","הכל בסדר"
"200-6724-2","סט צלחות נוגה 10"+8" אפור נקודות פס זהב(8+8 יח') ארוז 12 בקרטון","Flat plate set 10"+8" Gray dots with gold rim (packed 8+8) 12 in a case","כן","20.16","-","18","0.048","1","הכל בסדר"
"200-6724-3","סט צלחות נוגה 10"+8" ורוד נקודות פס זהב(8+8 יח') ארוז 12 בקרטון","Flat plate set 10"+8" pink dots with gold rim (packed 8+8) 12 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6724-4","סט צלחות נוגה 10"+8" תכלת נקודות פס זהב(8+8 יח') ארוז 12 בקרטון","Flat plate set 10"+8" Light Blue dots with gold rim (packed 8+8) 12 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6724-5","סט צלחות נוגה 10"+8" קרם נקודות פס זהב(8+8 יח') ארוז 12 בקרטון","Flat plate set 10"+8" cream dots with gold rim (packed 8+8) 12 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6803","צלחת 7" לבן איכותי (100 יח') ארוז 12 בקרטון","pp plate 7" standard pack (Packed 100) 12 in a case","כן","11.5","-","18","0.021","12","הכל בסדר"
"200-6804","צלחת 9" לבן איכותי (100 יח') ארוז 12 בקרטון","pp plate 9" standard pack (Packed 100))  12 in a case","כן","20.7","-","18","0.03","12","הכל בסדר"
"200-6805","מרקייה לבן איכותי (100 יח') ארוז 12 בקרטון","high-quality soup bowl (pack 100) 12 in case","כן","15.3","-","18","0.026","12","הכל בסדר"
"200-6806","לפתנייה לבן איכותי (100 יח') ארוז 20 בקרטון","high-quality small bowl (pack 100) 20 in case","כן","13.5","-","18","0.023","20","הכל בסדר"
"200-6807","צלחת 10" לבן איכותי (100 יח') ארוז 10 בקרטון","pp plate 10" standard pack (Packed 100))  10 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6808","אובלי לבן (קסרול) איכותי (100 יח') ארוז 20 בקרטון","white oval bowl (casserole) high-quality (packed 100) 20 in case","כן","15.4","-","18","0.022","20","הכל בסדר"
"200-6810","מרקייה שקוף איכותי (100 יח') ארוז 12 בקרטון","high-quality clear soup bowl (pack 100) 12 in case","כן","22.2","-","18","0.094","12","הכל בסדר"
"200-6811","לפתנייה שקוף איכותי (25 יח') ארוז 40 בקרטון","high-quality clear small bowl (pack 25) 40 in case","כן","11.5","-","18","0.023","40","הכל בסדר"
"200-6812","אובלי (קסרול) שקוף איכותי (25 יח') ארוז 40 בקרטון","high-quality clear oval bowl (pack 25) 40 in case","כן","13","-","18","0.03","40","הכל בסדר"
"200-6813","צלחת 7" שקוף איכותי (100 יח') ארוז 12 בקרטון","high-quality clear plate 7" (pack 100) 12 in case","כן","16.5","-","18","0.025","12","הכל בסדר"
"200-6814","צלחת 9" שקוף איכותי (100 יח') ארוז 12 בקרטון","high-quality clear plate 9" (pack 100) 12 in case","כן","33","-","18","0.042","12","הכל בסדר"
"200-6815","צלחת 10" שקוף איכותי (100 יח') ארוז 12 בקרטון","high-quality clear plate 10" (pack 100) 12 in case","כן","-","-","18","-","12","מחיר ספק; CBM לקרטון"
"200-6842","צלחת "9 HIGH PACK- PP לבן (75 יח') ארוז 12 בקרטון","pp 9" plate High pack (packed 50) 20 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6844","צלחת "9 - PP לבן (66 יח') ארוז 10 בקרטון","pp 9" plate High pack (packed 66) 10 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6845","צלחת "9 HIGH PACK- PP לבן (100 יח') ארוז 10 בקרטון","pp 9" plate High pack (packed 100) 10 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6846","צלחת 9" pp -לבן 8 גר' (50 יח') ארוז 20 בקרטון","pp plate 9" standard pack(50 pcs) 8 Gr' 20 in a case","כן","18","-","18","0.031","20","הכל בסדר"
"200-6847","צלחת 9" pp -לבן 8 גר' (25 יח') ארוז 40 בקרטון","pp plate 9" standard pack(25 pcs) 8 Gr' 40 in a case","כן","19.5","-","18","0.028","40","הכל בסדר"
"200-6848","לפתנייה-לבן (50 יח') ארוז 20 בקרטון","","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6849","צלחת 7" -לבן (50 יח') ארוז 20 בקרטון","pp plate 7" standard pack(50 pcs)  20 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6850","מרקייה-לבן (50 יח') ארוז 20 בקרטון","","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6899","מיני מרקייה קריסטל  (10 יח') ארוז 24 בקרטון","Mini Water Ripple Bowl (Packed 10) 24 in a case","כן","16.32","-","18","0.037","24","הכל בסדר"
"200-6900","צלחת קריסטל 7" (10 יח') ארוז 24 בקרטון","Water Ripple Plate  7" (Packed 10) 24 in a case","כן","15.13","-","18","0.019","24","הכל בסדר"
"200-6901","צלחת קריסטל 9" (10 יח') ארוז 24 בקרטון","Water Ripple Plate  9" (Packed 10) 24 in a case","כן","21.51","-","18","0.028","24","הכל בסדר"
"200-6902","צלחת קריסטל 10" (10 יח') ארוז 24 בקרטון","Water Ripple Plate 10" (Packed 10) 24 in a case","כן","29.42","-","18","0.036","24","הכל בסדר"
"200-6903","לפתניה קריסטל  (10 יח') ארוז 24 בקרטון","Water Ripple  Dessert Bowl (Packed 10) 24 in a case","כן","13.6","-","18","0.024","24","הכל בסדר"
"200-6904","מרקייה קריסטל  (10 יח') ארוז 24 בקרטון","Water Ripple Bowl  (Packed 10) 24 in a case","כן","20.27","-","18","0.059","24","הכל בסדר"
"200-6905","צלחת לגסי 7" (10 יח') ארוז 20 בקרטון","Legacy Plate 7" (Packed 10) 20 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6906","צלחת לגסי 9" (10 יח') ארוז 20 בקרטון","Legacy Plate 9" (Packed 10) 20 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6907","מרקייה לגסי 14OZ (10 יח') ארוז 20 בקרטון","Legacy Bowl 14OZ (Packed 10) 20 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6908","צלחת פרימיום מרובע 7" (10 יח') ארוז 12 בקרטון","Square Plate 7" (Packed 10) 12 in a case","כן","8.53","-","18","0.007","12","הכל בסדר"
"200-6909","צלחת פרימיום מרובע 8" (10 יח') ארוז 12 בקרטון","Square Plate 8" (Packed 10) 12 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6910","צלחת פרימיום מרובע 9" (10 יח') ארוז 12 בקרטון","Square Plate 9" (Packed 10) 12 in a case","כן","12.67","-","18","0.011","12","הכל בסדר"
"200-6911","צלחת פרימיום מרובע 10" (10 יח') ארוז 12 בקרטון","Square Plate 10" (Packed 10) 12 in a case","כן","18.42","-","18","0.019","12","הכל בסדר"
"200-6912","לפתניה פרימיום מרובע 6" (10 יח') ארוז 12 בקרטון","Square Dessert Bowl 6" (Packed 10) 12 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6913","מרקייה פרימיום מרובע 8.5" (10 יח') ארוז 12 בקרטון","Square Bowl 8.5" (Packed 10) 12 in a case","כן","11.91","-","18","0.022","12","הכל בסדר"
"200-6914","צלחת פרימיום מרובע 6.5" + הטבעה  (10 יח') ארוז 12 בקרטון","Hot stam Square Plate 6.5" (Packed 10) 12 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6915","צלחת פרימיום מרובע 8" + הטבעה  (10 יח') ארוז 12 בקרטון","Hot stam  Square Plate 8"  (Packed 10) 12 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6916","צלחת פרימיום מרובע 9.5" + הטבעה  (10 יח') ארוז 12 בקרטון","Hot stam Square Plate 9.5" (Packed 10) 12 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6917","צלחת פרימיום מרובע 10.75" + הטבעה  (10 יח') ארוז 12 בקרטון","Hot stam  Square Plate 10.75"  (Packed 10) 12 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-6918","צלחת קריסטל 10" פנינה (10 יח') ארוז 12 בקרטון","10" Pear Color Water Ripple Plate  (Packed 10) 12 in a case","כן","14.71","-","18","0.018","1","הכל בסדר"
"200-6919","צלחת קריסטל 9"  פנינה (10 יח') ארוז 12 בקרטון","9" Pearl Color Water Ripple Plate  (Packed 10) 12 in a case","כן","10.76","-","18","0.014","1","הכל בסדר"
"200-6920","צלחת קריסטל 7"  פנינה (10 יח') ארוז 12 בקרטון","7" Pearl Color Water Ripple Plate  (Packed 10) 12 in a case","כן","7.57","-","18","0.01","1","הכל בסדר"
"200-6921","מרקייה קריסטל פנינה (10 יח') ארוז 12 בקרטון","Pearl Color Water Ripple Bowl  (Packed 10) 12 in a case","כן","10.14","-","18","0.031","1","הכל בסדר"
"200-6922","מיני מרקייה קריסטל  פנינה (10 יח') ארוז 12 בקרטון","Pearl Color Mini Water Ripple Bowl (Packed 10) 12 in a case","כן","8.16","-","18","0.019","1","הכל בסדר"
"200-6923","צלחת קריסטל 10" שחור שקוף נצנץ (10 יח') ארוז 12 בקרטון","10" Cleart Black Glitter Water Ripple Plate clear black glitter 10" (Packed 10) 12 in a case","כן","14.71","-","18","0.019","1","הכל בסדר"
"200-6924","צלחת קריסטל 9" שחור שקוף נצנץ (10 יח') ארוז 12 בקרטון","9" Cleart Black Glitter Water Ripple Plate clear black glitter 10" (Packed 10) 12 in a case","כן","10.76","-","18","0.014","1","הכל בסדר"
"200-6925","צלחת קריסטל 7" שחור שקוף נצנץ (10 יח') ארוז 12 בקרטון","7" Cleart Black Glitter Water Ripple Plate clear black glitter 10" (Packed 10) 12 in a case","כן","7.57","-","18","0.009","1","הכל בסדר"
"200-6926","מרקייה קריסטל שחור שקוף נצנץ (10 יח') ארוז 12 בקרטון","Clear Black Glitte Water Ripple Bowl  (Packed 10) 12 in a case","כן","10.14","-","18","0.031","1","הכל בסדר"
"200-6927","מיני מרקיה קריסטל שחור שקוף נצנץ (10 יח') ארוז 12 בקרטון","Clear Black Glitte Mini Water Ripple Bowl (Packed 10) 12 in a case","כן","8.16","-","18","0.019","1","הכל בסדר"
"200-7100","קערה אובלית 11" ארוז 50 בקרטון","oval bowl 11" (packed 50)","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-7101","קערה לסלט 12" (2 יח')ארוז 25 בקרטון","round bowl  12" (packed 2) 25 in a case","כן","21.63","-","-","0.093","25","אחוז רווח (לקטגוריה)"
"200-7102","מגש 13*9 ארוז 48 בקרטון","tray rectangular 9*13(packed 48)","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-7103","מגש 9X13 (3 יח') ארוז 16 בקרטון","9X13 Tray Rectangular (packed 3) 16 in a casa","כן","16","-","-","0.016","16","אחוז רווח (לקטגוריה)"
"200-7104","קערה אלכסונית לסלט 13ס"מ (4 יח') ארוז 24 בקרטון","PS Bowl 13cm (packed 4) 24 in a case","כן","5.18","-","-","0.009","24","אחוז רווח (לקטגוריה)"
"200-7105","קערה אלכסונית לסלט 19ס"מ (1 יח') ארוז 24 בקרטון","PS Bowl 19cm (packed 1) 24 in a case","כן","3.74","-","-","0.009","24","אחוז רווח (לקטגוריה)"
"200-7106","קערה אלכסונית לסלט 24ס"מ (1 יח') ארוז 24 בקרטון","PS Bowl 24cm (packed 1) 24 in a case","כן","6.89","-","-","0.018","24","אחוז רווח (לקטגוריה)"
"200-7107","מגש 12" (1 יח) ארוז 25 בקרטון","Round Tray 12" (packed 1) 25 in a casa","כן","6.08","-","-","0.009","25","אחוז רווח (לקטגוריה)"
"200-7108","מגש 14" (1 יח) ארוז 25 בקרטון","Round Tray 14" (packed 1) 25 in a casa","כן","8.55","-","-","0.009","25","אחוז רווח (לקטגוריה)"
"200-7109","סט מגשי הגשה S+L(3+3) ארוז 18 בקרטון","Serving Tray Set S+L(packed 3+3) 18 in a cas","כן","25.2","-","-","0.036","18","אחוז רווח (לקטגוריה)"
"200-7110","קערה אלכסונית לסלט 13ס"מ (12 יח') ארוז 10 בקרטון","PS Bowl 13cm (packed 12) 10 in a case","כן","6.47","-","-","0.009","10","אחוז רווח (לקטגוריה)"
"200-7111","קערה אלכסונית לסלט 19 ס"מ (4 יח') ארוז 10 בקרטון","PS Bowl 19cm (packed 4) 10 in a case","כן","6.23","-","-","0.011","10","אחוז רווח (לקטגוריה)"
"200-7112","קערה אלכסונית לסלט 24 ס"מ (3 יח') ארוז 10 בקרטון","PS Bowl 24cm (packed 3) 10 in a case","כן","8.61","-","-","0.019","10","אחוז רווח (לקטגוריה)"
"200-7113","קערת לוקס שקוף פס זהב 20.5 ס"מ(2 יח') ארוז 24 בקרטון","Clear Bowl with gold rim 20.5cm (packed 2) 24 in a case","כן","26.4","-","-","0.061","1","אחוז רווח (לקטגוריה)"
"200-7114","קערת לוקס שקוף פס זהב 25 ס"מ(1 יח') ארוז 24 בקרטון","Clear Bowl with gold rim 25cm (packed 1) 24 in a case","כן","19.2","-","-","0.077","1","אחוז רווח (לקטגוריה)"
"200-7117","קערת בועות קטן  (5 יח') ארוז 10 בקרטון","Small Bubble Bowl(packed 5) 10 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-7118","קערת בועות בינוני  (3 יח') ארוז 10 בקרטון","Medium Bubble Bowl(packed 3) 10 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-7119","קערת בועות גדול  (2יח') ארוז 10 בקרטון","Largel Bubble Bowl(packed 2) 10 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-7120","קערה קונוס בועות קטן (1 יח') ארוז 50 בקרטון","small bubble cone bowl  (packed 1) 50 in a casa","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-7122","קערת קונוס בועות בינוני(1 יח') ארוז 50 בקרטון","medium bubble cone bowl (packed 1) 50 in a casa","כן","-","-","-","0.036","50","מחיר ספק; קטגוריה"
"200-7123","קערת קונוס בועות קטן(4 יח') ארוז 10 בקרטון","Small Bubble cone bowl (packed 4) 10 in a casa","כן","6.92","-","-","0.009","10","אחוז רווח (לקטגוריה)"
"200-7124","קערת קונוס בועות בינוני(2 יח') ארוז 10 בקרטון","Medium Bubble cone bowl (packed 2) 10 in a casa","כן","6.92","-","-","0.019","1","אחוז רווח (לקטגוריה)"
"200-7125","סט מגשי הגשה מנטה S+L(3+3) ארוז 18 בקרטון","Mint Serving Tray Set S+L(packed 3+3) 18 in a cas","כן","25.2","-","-","0.036","1","אחוז רווח (לקטגוריה)"
"200-7126","סט מגשי הגשה כחול ים S+L(3+3) ארוז 18 בקרטון","Sea Blue Serving Tray Set S+L(packed 3+3) 18 in a cas","כן","25.2","-","-","0.036","1","אחוז רווח (לקטגוריה)"
"200-7127","סט מגשי הגשה קרם S+L(3+3) ארוז 18 בקרטון","Cream Serving Tray Set S+L(packed 3+3) 18 in a cas","כן","25.2","-","-","0.031","1","אחוז רווח (לקטגוריה)"
"200-7128","סט מגשי הגשה ורוד בייבי S+L(3+3) ארוז 18 בקרטון","Baby Pink Serving Tray Set S+L(packed 3+3) 18 in a cas","כן","25.2","-","-","0.031","1","אחוז רווח (לקטגוריה)"
"200-7300","צלחת לוקס 10.25" שקוף פס זהב (10 יח') ארוז 12 בקרטון","Lux plate 10.25" clear with gold rim(Packed 10) 12 in a case","כן","-","-","18","0.036","24","מחיר ספק"
"200-7301","צלחת לוקס 9" שקוף פס זהב (10 יח') ארוז 12 בקרטון","Lux plate 9" clear with gold rim(Packed 10) 12 in a case","כן","-","-","18","0.028","24","מחיר ספק"
"200-7302","צלחת לוקס 7.5" שקוף פס זהב (10 יח') ארוז 12 בקרטון","Lux plate 7.5" clear with gold rim(Packed 10) 12 in a case","כן","-","-","18","0.019","24","מחיר ספק"
"200-7303","מרקייה לוקס 22oz שקוף פס זהב (10 יח') ארוז 12 בקרטון","Lux bowl 22oz clear with gold rim(Packed 10) 12 in a case","כן","-","-","18","0.056","24","מחיר ספק"
"200-7304","מרקייה לוקס 16oz שקוף פס זהב (10 יח') ארוז 12 בקרטון","Lux bowl 16oz clear with gold rim(Packed 10) 12 in a case","כן","-","-","18","0.035","24","מחיר ספק"
"200-7305","לפתנייה לוקס 8oz שקוף פס זהב (10 יח') ארוז 12 בקרטון","Lux small 8oz bowl clear with gold rim(Packed 10) 12 in a case","כן","-","-","18","0.025","24","מחיר ספק"
"200-7700-1","צלחת נוגה 10" גרז' פס זהב (10 יח') ארוז 12 בקרטון","Flat plate 10" garz color with gold rim(Packed 10) 12 in a case","כן","14.71","-","18","0.029","12","הכל בסדר"
"200-7700-2","צלחת נוגה 10" קרם פס זהב (10 יח') ארוז 12 בקרטון","Flat plate 10" cream color with gold rim(Packed 10) 12 in a case","כן","14.71","-","18","0.029","12","הכל בסדר"
"200-7700-3","צלחת נוגה 10" אפור נקודות פס זהב (10 יח') ארוז 12 בקרטון","Flat plate 10" gray dots with gold rim(Packed 10) 12 in a case","כן","15.15","-","18","0.029","12","הכל בסדר"
"200-7701-1","צלחת נוגה 8" גרז' פס זהב (10 יח') ארוז 12 בקרטון","Flat plate 8" garz color with gold rim(Packed 10) 12 in a case","כן","10.48","-","18","0.02","12","הכל בסדר"
"200-7701-2","צלחת נוגה 8" קרם פס זהב (10 יח') ארוז 12 בקרטון","Flat plate 8" cream color with gold rim(Packed 10) 12 in a case","כן","10.48","-","18","0.02","12","הכל בסדר"
"200-7701-3","צלחת נוגה 8" אפור נקודות פס זהב (10 יח') ארוז 12 בקרטון","Flat plate 8" gray dots with gold rim(Packed 10) 12 in a case","כן","10.79","-","18","0.02","12","הכל בסדר"
"200-7702-1","מרקיה נוגה גרז' פס זהב (10 יח') ארוז 12 בקרטון","Flat big bowl garz color with gold rim(Packed 10) 12 in a case","כן","12.76","-","18","0.034","12","הכל בסדר"
"200-7702-2","מרקיה נוגה קרם פס זהב (10 יח') ארוז 12 בקרטון","Flat big bowl cream color with gold rim(Packed 10) 12 in a case","כן","12.76","-","18","0.034","12","הכל בסדר"
"200-7702-3","מרקיה נוגה אפור נקודות פס זהב (10 יח') ארוז 12 בקרטון","Flat big bowl gray dots with gold rim(Packed 10) 12 in a case","כן","13.14","-","18","0.034","12","הכל בסדר"
"200-7703-1","לפתנייה נוגה גרז' פס זהב (10 יח') ארוז 12 בקרטון","Flat small bowl garz color with gold rim(Packed 10) 12 in a case","כן","6.14","-","18","0.012","12","הכל בסדר"
"200-7703-2","לפתנייה נוגה קרם פס זהב (10 יח') ארוז 12 בקרטון","Flat small bowl cream color with gold rim(Packed 10) 12 in a case","כן","6.14","-","18","0.012","12","הכל בסדר"
"200-7703-3","לפתנייה נוגה אפור נקודות פס זהב (10 יח') ארוז 12 בקרטון","Flat small bowl gray dots with gold rim(Packed 10) 12 in a case","כן","6.32","-","18","0.012","12","הכל בסדר"
"200-7704-1","צלחת ורסאי 10.5" שקוף פס זהב(10 יח') ארוז 12 בקרטון","Versailles Plate 10.5"  Clear with gold rim (Packed 10) 12 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-7704-2","צלחת ורסאי 10.5" שמנת פס זהב(10 יח') ארוז 12 בקרטון","Versailles Plate 10.5"  Cream with gold rim (Packed 10) 12 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-7704-3","צלחת ורסאי 10.5" לבן פס זהב(10 יח') ארוז 12 בקרטון","Versailles Plate 10.5"  White with gold rim (Packed 10) 12 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-7705-1","צלחת ורסאי 8" שקוף פס זהב(10 יח') ארוז 12 בקרטון","Versailles Plate 8"  Clear with gold rim (Packed 10) 12 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-7705-2","צלחת ורסאי 8" שמנת פס זהב(10 יח') ארוז 12 בקרטון","Versailles Plate 8"  Cream with gold rim (Packed 10) 12 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"200-7705-3","צלחת ורסאי 8" לבן פס זהב(10 יח') ארוז 12 בקרטון","Versailles Plate 8"  White with gold rim (Packed 10) 12 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
"220-6100","קינוחית פרח 60 מ"ל בשרינק(20 יח') ארוז 30 בקרטון","Flower Dessert Cup 60ml in a shrink(packed 20)30 in a case","כן","14.11","-","25","0.024","30","הכל בסדר"
"220-6100-90","קינוחית פרח 60 מ"ל בשרינק(40 יח') ארוז 30 בקרטון","Flower Dessert Cup 60ml in a shrink(packed 40)30 in a case","כן","41.68","-","25","0.052","30","הכל בסדר"
"220-6101","קינוחית קונוס 100 מ"ל בקופסא(12 יח') ארוז 30 בקרטון","Cone Dessert Cup 100ml in pvc box(packed 12)30 in a case","כן","13.86","-","25","0.029","30","הכל בסדר"
"220-6101-20","קינוחית קונוס 100 מ"ל בקופסא(20 יח') ארוז 30 בקרטון","Cone Dessert Cup 100ml in pvc box(packed 20)30 in a case","כן","22.5","-","25","0.045","1","הכל בסדר"
"220-6101-90","קינוחית קונוס 100 מ"ל בקופסא(24 יח') ארוז 30 בקרטון","Cone Dessert Cup 100ml in pvc box(packed 24)30 in a case","כן","26.05","-","25","0.047","30","הכל בסדר"
"220-6102","קינוחית מרובע 58 מ"ל בשרינק(24 יח') ארוז 24 בקרטון","Square Dessert Cup 58ml in a shrink(packed 24)24 in a case","כן","11.52","-","25","0.011","24","הכל בסדר"
"220-6103","קינוחית פרח 70 מ"ל בשרינק(24 יח') ארוז 24 בקרטון","Flower Dessert Cup 70ml in a shrink(packed 24)24 in a case","כן","15.95","-","25","0.023","24","הכל בסדר"
"220-6104","קינוחית קונוס 75 מ"ל בשרינק(20 יח') ארוז 24 בקרטון","Cone Dessert Cup 75ml in a shrink(packed 20) 24 in a case","כן","16.08","-","25","0.03","24","הכל בסדר"
"220-6105","כפיות  מיני שקופות(100 יח') ארוז 30 בקרטון","clear mini spoons(packed 100)30 in a case","כן","19.66","-","25","0.016","30","הכל בסדר"
"220-6108","קינוחית מיני שוט 70 מ"ל בקופסא (8 יחי) ארוז 30 בקרטון","Mini shot Dessert Cup 70ml in pvc box(packed 8)30 in a case","כן","14.57","-","25","0.017","30","הכל בסדר"
"220-6114","קינוחית מיני פסים 90 מ"ל בקופסא(20 יח') ארוז 30 בקרטון","Mini Stripesl Dessert Cup 90ml in pvc box(packed 20)30 in a case","כן","21.09","-","25","0.033","30","הכל בסדר"
"220-6114-90","קינוחית מיני פסים 90 מ"ל בקופסא(40 יח') ארוז 30 בקרטון","Mini Stripesl Dessert Cup 90ml in pvc box(packed 40)30 in a case","כן","36.04","-","25","0.056","30","הכל בסדר"
"220-6122","קינוחית ספירלה 50 מ"ל בקופסא(8 יח') ארוז 30 בקרטון","Spiral Dessert Cup 50ml in pvc box(packed 8)30 in a case","כן","12.16","-","25","0.01","30","הכל בסדר"
"220-6122-90","קינוחית ספירלה 50 מ"ל בקופסא(24 יח') ארוז 30 בקרטון","Spiral Dessert Cup 50ml in pvc box(packed 24)30 in a case","כן","30.91","-","25","0.024","30","הכל בסדר"
"220-6130-90","קינוחית ספירלה 60 מ"ל בקופסא(24 יח') ארוז 30 בקרטון","Hexagonal Dessert Cup 60ml in pvc box(packed 24)30 in a case","כן","23.39","-","25","0.032","30","הכל בסדר"
"220-6146","קינוחית קונוס משופע 70 מ"ל בקופסא(8 יח') ארוז 30 בקרטון","Sloping Cone Dessert Cup 70ml in pvc box(packed 8)30 in a case","כן","-","-","-","0.014","30","מחיר ספק; קטגוריה"
"220-6146-12","קינוחית קונוס משופע 70 מ"ל בקופסא(12 יח') ארוז 30 בקרטון","Sloping Cone Dessert Cup 70ml in pvc box(packed 12)30 in a case","כן","15.63","-","25","0.024","30","הכל בסדר"
"220-6146-90","קינוחית קונוס משופע 70 מ"ל בקופסא(18 יח') ארוז 30 בקרטון","Sloping Cone Dessert Cup 70ml in pvc box(packed 18)30 in a case","כן","21.51","-","25","0.03","30","הכל בסדר"
"220-6153-90","קינוחית מיני כדור 75 מ"ל בקופסא(12 יח') ארוז 30 בקרטון","Mini Ball Dessert Cup 75ml in pvc box(packed 12)30 in a case","כן","30.09","-","25","0.053","30","הכל בסדר"
"220-6154","קינוחית מיני אגרטל 85 מ"ל בקופסא(8 יח') ארוז 30 בקרטון","Mini vase Dessert Cup 85ml in pvc box(packed 8)30 in a case","כן","16.48","-","25","0.018","30","הכל בסדר"
"220-6154-90","קינוחית מיני אגרטל 85 מ"ל בקופסא(18 יח') ארוז 30 בקרטון","Mini vase Dessert Cup 85ml in pvc box(packed 18)30 in a case","כן","34.46","-","25","0.038","30","הכל בסדר"
"220-6158","קינוחית מרובע נצנץ 58 מ"ל בקופסא(24 יח') ארוז 30 בקרטון","Glitter square Dessert Cup 58ml in pvc box(packed 24)30 in a case","כן","18.67","-","25","0.02","30","הכל בסדר"
"220-6158-90","קינוחית מרובע נצנץ 58 מ"ל בקופסא(50 יח') ארוז 30 בקרטון","Glitter square Dessert Cup 58ml in pvc box(packed 50)30 in a case","כן","36.39","-","25","0.03","30","הכל בסדר"
"220-6160","קינוחית מרובע גבוה+מכסה 160 מ"ל בקופסא(8 יח')ארוז 30 בקרטון","High square+Lid Dessert Cup 160ml in pvc box(packed 12)30 in a case","כן","17.48","-","25","0.024","30","הכל בסדר"
"220-6160-90","קינוחית מרובע גבוה+מכסה 140 מ"ל בקופסא(18 יח')ארוז 30 בקרטון","High square+Lid Dessert Cup 140ml in pvc box(packed 18)30 in a case","כן","37.11","-","25","0.047","30","הכל בסדר"
"220-6161-90","קינוחית מוס+מכסה 120 מ"ל בקופסא(20 יח') ארוז 30 בקרטון","Mousse dessert+Lid  120ml in pvc box(packed 20)30 in a case","כן","34.35","-","25","0.062","30","הכל בסדר"
"220-6169","פלטת 3 מטבלים 229 מ"ל בקופסא(5 יח') ארוז 30 בקרטון","Triple plate for dips 229ml in pvc box(packed 5)30 in a case","כן","18.81","-","25","0.023","30","הכל בסדר"
"220-6169-90","פלטת 3 מטבלים 229 מ"ל בקופסא(12 יח') ארוז 30 בקרטון","Triple plate for dips 229ml in pvc box(packed 12)30 in a case","כן","41.52","-","25","0.033","30","הכל בסדר"
"220-6179","קינוחית מיני אובל 60 מ"ל בקופסא(10 יח') ארוז 30 בקרטון","Mini oval Dessert Cup 60ml in pvc box(packed 10)30 in a case","כן","12.75","-","25","0.016","30","הכל בסדר"
"220-6179-90","קינוחית מיני אובל 60 מ"ל בקופסא(24 יח') ארוז 30 בקרטון","Mini oval Dessert Cup 60ml in pvc box(packed 24)30 in a case","כן","27.61","-","25","0.023","30","הכל בסדר"
"250-4000","גביע אחסון איכותי 8OZ (16 יח') ארוז 32 בקרטון","8OZ PP Deli Container With Lid(packed 16) 32 in a case","כן","26.1","-","15","0.088","32","הכל בסדר"
"250-4001","גביע אחסון איכותי 16OZ (12 יח') ארוז 32 בקרטון","16OZ PP Deli Container With Lid(packed 12) 32 in a case","כן","23.2","-","15","0.095","32","הכל בסדר"
"250-4002","גביע אחסון איכותי 24OZ(10 יח') ארוז 32 בקרטון","24OZ PP Deli Container With Lid(packed 10) 32 in a case","כן","25.3","-","15","0.111","32","הכל בסדר"
"250-4002-24","גביע אחסון איכותי 24OZ(10 יח') ארוז 24 בקרטון","24OZ PP Deli Container With Lid(packed 10) 24 in a case","לא","-","-","-","-","-","פריט לא קיים במערכת"
